Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1761,1583,19,48930.250000,0.000388
2,1000,0.1,0.2,50.0,1000,1740,1566,7,49884.562500,0.000140
3,1000,0.1,0.2,50.0,1000,1776,1607,1,48066.085938,0.000021
4,1000,0.1,0.2,50.0,1000,1741,1545,6,50611.917969,0.000119
5,1000,0.1,0.2,50.0,1000,1681,1494,2,51226.269531,0.000039
6,1000,0.1,0.2,50.0,1000,1738,1590,9,48956.730469,0.000184
7,1000,0.1,0.2,50.0,1000,1740,1549,9,51599.429688,0.000174
8,1000,0.1,0.2,50.0,1000,1810,1624,1,51094.035156,0.000020
9,1000,0.1,0.2,50.0,1000,1798,1603,1,49708.167969,0.000020
10,1000,0.1,0.2,50.0,1000,1783,1615,2,48676.453125,0.000041
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1761,1583,19,48930.250000,0.000388
2,1000,0.1,0.2,50.0,1000,1740,1566,7,49884.562500,0.000140
3,1000,0.1,0.2,50.0,1000,1776,1607,1,48066.085938,0.000021
4,1000,0.1,0.2,50.0,1000,1741,1545,6,50611.917969,0.000119
5,1000,0.1,0.2,50.0,1000,1681,1494,2,51226.269531,0.000039
6,1000,0.1,0.2,50.0,1000,1738,1590,9,48956.730469,0.000184
7,1000,0.1,0.2,50.0,1000,1740,1549,9,51599.429688,0.000174
8,1000,0.1,0.2,50.0,1000,1810,1624,1,51094.035156,0.000020
9,1000,0.1,0.2,50.0,1000,1798,1603,1,49708.167969,0.000020
10,1000,0.1,0.2,50.0,1000,1783,1615,2,48676.453125,0.000041
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1761,1583,19,48930.250000,0.000388
2,1000,0.1,0.2,50.0,1000,1740,1566,7,49884.562500,0.000140
3,1000,0.1,0.2,50.0,1000,1776,1607,1,48066.085938,0.000021
4,1000,0.1,0.2,50.0,1000,1741,1545,6,50611.917969,0.000119
5,1000,0.1,0.2,50.0,1000,1681,1494,2,51226.269531,0.000039
6,1000,0.1,0.2,50.0,1000,1738,1590,9,48956.730469,0.000184
7,1000,0.1,0.2,50.0,1000,1740,1549,9,51599.429688,0.000174
8,1000,0.1,0.2,50.0,1000,1810,1624,1,51094.035156,0.000020
9,1000,0.1,0.2,50.0,1000,1798,1603,1,49708.167969,0.000020
10,1000,0.1,0.2,50.0,1000,1783,1615,2,48676.453125,0.000041
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1761,1583,19,48930.250000,0.000388
2,1000,0.1,0.2,50.0,1000,1740,1566,7,49884.562500,0.000140
3,1000,0.1,0.2,50.0,1000,1776,1607,1,48066.085938,0.000021
4,1000,0.1,0.2,50.0,1000,1741,1545,6,50611.917969,0.000119
5,1000,0.1,0.2,50.0,1000,1681,1494,2,51226.269531,0.000039
6,1000,0.1,0.2,50.0,1000,1738,1590,9,48956.730469,0.000184
7,1000,0.1,0.2,50.0,1000,1740,1549,9,51599.429688,0.000174
8,1000,0.1,0.2,50.0,1000,1810,1624,1,51094.035156,0.000020
9,1000,0.1,0.2,50.0,1000,1798,1603,1,49708.167969,0.000020
10,1000,0.1,0.2,50.0,1000,1783,1615,2,48676.453125,0.000041
