Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,5504,2263,597,49746.394531,0.012001
2,1000,0.6,0.2,50.0,1000,5877,2328,583,51191.933594,0.011389
3,1000,0.6,0.2,50.0,1000,5672,2235,547,51095.558594,0.010705
4,1000,0.6,0.2,50.0,1000,5311,2148,590,50091.464844,0.011778
5,1000,0.6,0.2,50.0,1000,5745,2265,596,50426.910156,0.011819
6,1000,0.6,0.2,50.0,1000,5670,2293,564,51684.523438,0.010912
7,1000,0.6,0.2,50.0,1000,5740,2273,563,49785.222656,0.011309
8,1000,0.6,0.2,50.0,1000,5591,2259,581,50062.660156,0.011605
9,1000,0.6,0.2,50.0,1000,5561,2190,548,48872.957031,0.011213
10,1000,0.6,0.2,50.0,1000,5620,2220,562,49247.308594,0.011412
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,5504,2263,597,49746.394531,0.012001
2,1000,0.6,0.2,50.0,1000,5877,2328,583,51191.933594,0.011389
3,1000,0.6,0.2,50.0,1000,5672,2235,547,51095.558594,0.010705
4,1000,0.6,0.2,50.0,1000,5311,2148,590,50091.464844,0.011778
5,1000,0.6,0.2,50.0,1000,5745,2265,596,50426.910156,0.011819
6,1000,0.6,0.2,50.0,1000,5670,2293,564,51684.523438,0.010912
7,1000,0.6,0.2,50.0,1000,5740,2273,563,49785.222656,0.011309
8,1000,0.6,0.2,50.0,1000,5591,2259,581,50062.660156,0.011605
9,1000,0.6,0.2,50.0,1000,5561,2190,548,48872.957031,0.011213
10,1000,0.6,0.2,50.0,1000,5620,2220,562,49247.308594,0.011412
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,5504,2263,597,49746.394531,0.012001
2,1000,0.6,0.2,50.0,1000,5877,2328,583,51191.933594,0.011389
3,1000,0.6,0.2,50.0,1000,5672,2235,547,51095.558594,0.010705
4,1000,0.6,0.2,50.0,1000,5311,2148,590,50091.464844,0.011778
5,1000,0.6,0.2,50.0,1000,5745,2265,596,50426.910156,0.011819
6,1000,0.6,0.2,50.0,1000,5670,2293,564,51684.523438,0.010912
7,1000,0.6,0.2,50.0,1000,5740,2273,563,49785.222656,0.011309
8,1000,0.6,0.2,50.0,1000,5591,2259,581,50062.660156,0.011605
9,1000,0.6,0.2,50.0,1000,5561,2190,548,48872.957031,0.011213
10,1000,0.6,0.2,50.0,1000,5620,2220,562,49247.308594,0.011412
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,5504,2263,597,49746.394531,0.012001
2,1000,0.6,0.2,50.0,1000,5877,2328,583,51191.933594,0.011389
3,1000,0.6,0.2,50.0,1000,5672,2235,547,51095.558594,0.010705
4,1000,0.6,0.2,50.0,1000,5311,2148,590,50091.464844,0.011778
5,1000,0.6,0.2,50.0,1000,5745,2265,596,50426.910156,0.011819
6,1000,0.6,0.2,50.0,1000,5670,2293,564,51684.523438,0.010912
7,1000,0.6,0.2,50.0,1000,5740,2273,563,49785.222656,0.011309
8,1000,0.6,0.2,50.0,1000,5591,2259,581,50062.660156,0.011605
9,1000,0.6,0.2,50.0,1000,5561,2190,548,48872.957031,0.011213
10,1000,0.6,0.2,50.0,1000,5620,2220,562,49247.308594,0.011412
