Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2015,1601,12,49373.703125,0.000243
2,1000,0.2,0.2,50.0,1000,2068,1645,1,50597.988281,0.000020
3,1000,0.2,0.2,50.0,1000,2101,1636,1,48764.191406,0.000021
4,1000,0.2,0.2,50.0,1000,2105,1671,7,50125.058594,0.000140
5,1000,0.2,0.2,50.0,1000,1983,1608,2,50500.101562,0.000040
6,1000,0.2,0.2,50.0,1000,2061,1678,5,50194.449219,0.000100
7,1000,0.2,0.2,50.0,1000,2114,1630,9,52261.292969,0.000172
8,1000,0.2,0.2,50.0,1000,2021,1639,1,50403.558594,0.000020
9,1000,0.2,0.2,50.0,1000,2069,1656,1,50618.679688,0.000020
10,1000,0.2,0.2,50.0,1000,2065,1661,6,50106.062500,0.000120
