Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,8447,1710,2,50026.261719,0.000040
2,1000,0.8,0.2,50.0,1000,8412,1714,2,50020.253906,0.000040
3,1000,0.8,0.2,50.0,1000,8902,1814,2,50035.078125,0.000040
4,1000,0.8,0.2,50.0,1000,7974,1647,3,49550.308594,0.000061
5,1000,0.8,0.2,50.0,1000,8100,1601,1,50179.753906,0.000020
6,1000,0.8,0.2,50.0,1000,8413,1730,3,50081.937500,0.000060
7,1000,0.8,0.2,50.0,1000,8380,1618,3,50158.539062,0.000060
8,1000,0.8,0.2,50.0,1000,8308,1681,4,50211.292969,0.000080
9,1000,0.8,0.2,50.0,1000,7859,1547,1,48541.531250,0.000021
10,1000,0.8,0.2,50.0,1000,8395,1702,2,49942.867188,0.000040
