Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,39800,7929,979,50808.273438,0.019269
2,1000,0.8,0.2,50.0,1000,85259,8421,788,49403.566406,0.015950
3,1000,0.8,0.2,50.0,1000,134871,8416,681,49366.679688,0.013795
4,1000,0.8,0.2,50.0,1000,51177,7395,897,49226.355469,0.018222
5,1000,0.8,0.2,50.0,1000,80092,8283,803,49485.707031,0.016227
6,1000,0.8,0.2,50.0,1000,73572,8135,819,50243.488281,0.016301
7,1000,0.8,0.2,50.0,1000,87568,8632,794,51151.648438,0.015522
8,1000,0.8,0.2,50.0,1000,51687,7639,894,49735.996094,0.017975
9,1000,0.8,0.2,50.0,1000,283173,8579,438,49617.976562,0.008827
10,1000,0.8,0.2,50.0,1000,84404,8294,788,49323.277344,0.015976
