Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1866,1689,999,48970.757812,0.020400
2,1000,0.1,0.2,50.0,1000,1940,1751,998,49733.050781,0.020067
3,1000,0.1,0.2,50.0,1000,1942,1739,999,49178.753906,0.020314
4,1000,0.1,0.2,50.0,1000,1928,1744,999,49940.972656,0.020004
5,1000,0.1,0.2,50.0,1000,1889,1695,999,50720.105469,0.019696
6,1000,0.1,0.2,50.0,1000,1924,1743,999,50180.335938,0.019908
7,1000,0.1,0.2,50.0,1000,1957,1739,999,49510.359375,0.020178
8,1000,0.1,0.2,50.0,1000,1897,1722,999,51316.769531,0.019467
9,1000,0.1,0.2,50.0,1000,2005,1798,998,49673.089844,0.020091
10,1000,0.1,0.2,50.0,1000,1886,1707,999,49184.113281,0.020311
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1866,1689,999,48970.757812,0.020400
2,1000,0.1,0.2,50.0,1000,1940,1751,998,49733.050781,0.020067
3,1000,0.1,0.2,50.0,1000,1942,1739,999,49178.753906,0.020314
4,1000,0.1,0.2,50.0,1000,1928,1744,999,49940.972656,0.020004
5,1000,0.1,0.2,50.0,1000,1889,1695,999,50720.105469,0.019696
6,1000,0.1,0.2,50.0,1000,1924,1743,999,50180.335938,0.019908
7,1000,0.1,0.2,50.0,1000,1957,1739,999,49510.359375,0.020178
8,1000,0.1,0.2,50.0,1000,1897,1722,999,51316.769531,0.019467
9,1000,0.1,0.2,50.0,1000,2005,1798,998,49673.089844,0.020091
10,1000,0.1,0.2,50.0,1000,1886,1707,999,49184.113281,0.020311
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1866,1689,999,48970.757812,0.020400
2,1000,0.1,0.2,50.0,1000,1940,1751,998,49733.050781,0.020067
3,1000,0.1,0.2,50.0,1000,1942,1739,999,49178.753906,0.020314
4,1000,0.1,0.2,50.0,1000,1928,1744,999,49940.972656,0.020004
5,1000,0.1,0.2,50.0,1000,1889,1695,999,50720.105469,0.019696
6,1000,0.1,0.2,50.0,1000,1924,1743,999,50180.335938,0.019908
7,1000,0.1,0.2,50.0,1000,1957,1739,999,49510.359375,0.020178
8,1000,0.1,0.2,50.0,1000,1897,1722,999,51316.769531,0.019467
9,1000,0.1,0.2,50.0,1000,2005,1798,998,49673.089844,0.020091
10,1000,0.1,0.2,50.0,1000,1886,1707,999,49184.113281,0.020311
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1866,1689,999,48970.757812,0.020400
2,1000,0.1,0.2,50.0,1000,1940,1751,998,49733.050781,0.020067
3,1000,0.1,0.2,50.0,1000,1942,1739,999,49178.753906,0.020314
4,1000,0.1,0.2,50.0,1000,1928,1744,999,49940.972656,0.020004
5,1000,0.1,0.2,50.0,1000,1889,1695,999,50720.105469,0.019696
6,1000,0.1,0.2,50.0,1000,1924,1743,999,50180.335938,0.019908
7,1000,0.1,0.2,50.0,1000,1957,1739,999,49510.359375,0.020178
8,1000,0.1,0.2,50.0,1000,1897,1722,999,51316.769531,0.019467
9,1000,0.1,0.2,50.0,1000,2005,1798,998,49673.089844,0.020091
10,1000,0.1,0.2,50.0,1000,1886,1707,999,49184.113281,0.020311
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1866,1689,999,48970.757812,0.020400
2,1000,0.1,0.2,50.0,1000,1940,1751,998,49733.050781,0.020067
3,1000,0.1,0.2,50.0,1000,1942,1739,999,49178.753906,0.020314
4,1000,0.1,0.2,50.0,1000,1928,1744,999,49940.972656,0.020004
5,1000,0.1,0.2,50.0,1000,1889,1695,999,50720.105469,0.019696
6,1000,0.1,0.2,50.0,1000,1924,1743,999,50180.335938,0.019908
7,1000,0.1,0.2,50.0,1000,1957,1739,999,49510.359375,0.020178
8,1000,0.1,0.2,50.0,1000,1897,1722,999,51316.769531,0.019467
9,1000,0.1,0.2,50.0,1000,2005,1798,998,49673.089844,0.020091
10,1000,0.1,0.2,50.0,1000,1886,1707,999,49184.113281,0.020311
