Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,3457,728,21,51797.121094,0.000405
2,1000,0.8,0.2,50.0,1000,3329,694,21,49901.074219,0.000421
3,1000,0.8,0.2,50.0,1000,3391,673,21,50810.750000,0.000413
4,1000,0.8,0.2,50.0,1000,3385,667,21,50699.406250,0.000414
5,1000,0.8,0.2,50.0,1000,3305,680,21,49483.789062,0.000424
6,1000,0.8,0.2,50.0,1000,3336,721,21,49997.636719,0.000420
7,1000,0.8,0.2,50.0,1000,3273,647,21,49011.710938,0.000428
8,1000,0.8,0.2,50.0,1000,3389,675,21,50768.484375,0.000414
9,1000,0.8,0.2,50.0,1000,3223,635,21,48238.453125,0.000435
10,1000,0.8,0.2,50.0,1000,3337,668,21,50019.398438,0.000420
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,3457,728,21,51797.121094,0.000405
2,1000,0.8,0.2,50.0,1000,3329,694,21,49901.074219,0.000421
3,1000,0.8,0.2,50.0,1000,3391,673,21,50810.750000,0.000413
4,1000,0.8,0.2,50.0,1000,3385,667,21,50699.406250,0.000414
5,1000,0.8,0.2,50.0,1000,3305,680,21,49483.789062,0.000424
6,1000,0.8,0.2,50.0,1000,3336,721,21,49997.636719,0.000420
7,1000,0.8,0.2,50.0,1000,3273,647,21,49011.710938,0.000428
8,1000,0.8,0.2,50.0,1000,3389,675,21,50768.484375,0.000414
9,1000,0.8,0.2,50.0,1000,3223,635,21,48238.453125,0.000435
10,1000,0.8,0.2,50.0,1000,3337,668,21,50019.398438,0.000420
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,3457,728,21,51797.121094,0.000405
2,1000,0.8,0.2,50.0,1000,3329,694,21,49901.074219,0.000421
3,1000,0.8,0.2,50.0,1000,3391,673,21,50810.750000,0.000413
4,1000,0.8,0.2,50.0,1000,3385,667,21,50699.406250,0.000414
5,1000,0.8,0.2,50.0,1000,3305,680,21,49483.789062,0.000424
6,1000,0.8,0.2,50.0,1000,3336,721,21,49997.636719,0.000420
7,1000,0.8,0.2,50.0,1000,3273,647,21,49011.710938,0.000428
8,1000,0.8,0.2,50.0,1000,3389,675,21,50768.484375,0.000414
9,1000,0.8,0.2,50.0,1000,3223,635,21,48238.453125,0.000435
10,1000,0.8,0.2,50.0,1000,3337,668,21,50019.398438,0.000420
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,3457,728,21,51797.121094,0.000405
2,1000,0.8,0.2,50.0,1000,3329,694,21,49901.074219,0.000421
3,1000,0.8,0.2,50.0,1000,3391,673,21,50810.750000,0.000413
4,1000,0.8,0.2,50.0,1000,3385,667,21,50699.406250,0.000414
5,1000,0.8,0.2,50.0,1000,3305,680,21,49483.789062,0.000424
6,1000,0.8,0.2,50.0,1000,3336,721,21,49997.636719,0.000420
7,1000,0.8,0.2,50.0,1000,3273,647,21,49011.710938,0.000428
8,1000,0.8,0.2,50.0,1000,3389,675,21,50768.484375,0.000414
9,1000,0.8,0.2,50.0,1000,3223,635,21,48238.453125,0.000435
10,1000,0.8,0.2,50.0,1000,3337,668,21,50019.398438,0.000420
