Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,3492,1683,23,52412.031250,0.000439
2,1000,0.5,0.2,50.0,1000,3507,1742,21,52551.507812,0.000400
3,1000,0.5,0.2,50.0,1000,3248,1588,23,48733.359375,0.000472
4,1000,0.5,0.2,50.0,1000,3177,1640,21,47595.402344,0.000441
5,1000,0.5,0.2,50.0,1000,3274,1625,22,49065.699219,0.000448
6,1000,0.5,0.2,50.0,1000,3313,1688,23,49672.789062,0.000463
7,1000,0.5,0.2,50.0,1000,3318,1644,25,49812.160156,0.000502
8,1000,0.5,0.2,50.0,1000,3261,1661,22,48892.242188,0.000450
9,1000,0.5,0.2,50.0,1000,3234,1597,24,48475.351562,0.000495
10,1000,0.5,0.2,50.0,1000,3224,1606,21,48313.964844,0.000435
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,3492,1683,23,52412.031250,0.000439
2,1000,0.5,0.2,50.0,1000,3507,1742,21,52551.507812,0.000400
3,1000,0.5,0.2,50.0,1000,3248,1588,23,48733.359375,0.000472
4,1000,0.5,0.2,50.0,1000,3177,1640,21,47595.402344,0.000441
5,1000,0.5,0.2,50.0,1000,3274,1625,22,49065.699219,0.000448
6,1000,0.5,0.2,50.0,1000,3313,1688,23,49672.789062,0.000463
7,1000,0.5,0.2,50.0,1000,3318,1644,25,49812.160156,0.000502
8,1000,0.5,0.2,50.0,1000,3261,1661,22,48892.242188,0.000450
9,1000,0.5,0.2,50.0,1000,3234,1597,24,48475.351562,0.000495
10,1000,0.5,0.2,50.0,1000,3224,1606,21,48313.964844,0.000435
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,3492,1683,23,52412.031250,0.000439
2,1000,0.5,0.2,50.0,1000,3507,1742,21,52551.507812,0.000400
3,1000,0.5,0.2,50.0,1000,3248,1588,23,48733.359375,0.000472
4,1000,0.5,0.2,50.0,1000,3177,1640,21,47595.402344,0.000441
5,1000,0.5,0.2,50.0,1000,3274,1625,22,49065.699219,0.000448
6,1000,0.5,0.2,50.0,1000,3313,1688,23,49672.789062,0.000463
7,1000,0.5,0.2,50.0,1000,3318,1644,25,49812.160156,0.000502
8,1000,0.5,0.2,50.0,1000,3261,1661,22,48892.242188,0.000450
9,1000,0.5,0.2,50.0,1000,3234,1597,24,48475.351562,0.000495
10,1000,0.5,0.2,50.0,1000,3224,1606,21,48313.964844,0.000435
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,3492,1683,23,52412.031250,0.000439
2,1000,0.5,0.2,50.0,1000,3507,1742,21,52551.507812,0.000400
3,1000,0.5,0.2,50.0,1000,3248,1588,23,48733.359375,0.000472
4,1000,0.5,0.2,50.0,1000,3177,1640,21,47595.402344,0.000441
5,1000,0.5,0.2,50.0,1000,3274,1625,22,49065.699219,0.000448
6,1000,0.5,0.2,50.0,1000,3313,1688,23,49672.789062,0.000463
7,1000,0.5,0.2,50.0,1000,3318,1644,25,49812.160156,0.000502
8,1000,0.5,0.2,50.0,1000,3261,1661,22,48892.242188,0.000450
9,1000,0.5,0.2,50.0,1000,3234,1597,24,48475.351562,0.000495
10,1000,0.5,0.2,50.0,1000,3224,1606,21,48313.964844,0.000435
