Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,47866,8077,587,52063.796875,0.011275
2,1000,0.8,0.2,50.0,1000,42665,8114,806,50301.511719,0.016023
3,1000,0.8,0.2,50.0,1000,48467,8180,670,50223.179688,0.013340
4,1000,0.8,0.2,50.0,1000,45865,7670,567,49668.816406,0.011416
5,1000,0.8,0.2,50.0,1000,34183,6613,750,49247.425781,0.015229
6,1000,0.8,0.2,50.0,1000,48539,7985,628,49991.261719,0.012562
7,1000,0.8,0.2,50.0,1000,51150,8253,529,49850.496094,0.010612
8,1000,0.8,0.2,50.0,1000,45852,8437,734,51445.457031,0.014268
9,1000,0.8,0.2,50.0,1000,49036,8358,604,51042.808594,0.011833
10,1000,0.8,0.2,50.0,1000,38346,7483,541,49275.101562,0.010979
