Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,9619,3925,997,48959.480469,0.020364
2,1000,0.6,0.2,50.0,1000,9892,3879,992,50307.714844,0.019719
3,1000,0.6,0.2,50.0,1000,10134,4048,997,51562.281250,0.019336
4,1000,0.6,0.2,50.0,1000,9481,3868,997,49762.714844,0.020035
5,1000,0.6,0.2,50.0,1000,9848,3932,996,50449.625000,0.019742
6,1000,0.6,0.2,50.0,1000,9499,3845,996,50229.917969,0.019829
7,1000,0.6,0.2,50.0,1000,9914,3904,998,50859.402344,0.019623
8,1000,0.6,0.2,50.0,1000,9438,3777,995,49080.902344,0.020273
9,1000,0.6,0.2,50.0,1000,9544,3771,998,48057.203125,0.020767
10,1000,0.6,0.2,50.0,1000,9784,3938,991,50749.519531,0.019527
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,9619,3925,997,48959.480469,0.020364
2,1000,0.6,0.2,50.0,1000,9892,3879,992,50307.714844,0.019719
3,1000,0.6,0.2,50.0,1000,10134,4048,997,51562.281250,0.019336
4,1000,0.6,0.2,50.0,1000,9481,3868,997,49762.714844,0.020035
5,1000,0.6,0.2,50.0,1000,9848,3932,996,50449.625000,0.019742
6,1000,0.6,0.2,50.0,1000,9499,3845,996,50229.917969,0.019829
7,1000,0.6,0.2,50.0,1000,9914,3904,998,50859.402344,0.019623
8,1000,0.6,0.2,50.0,1000,9438,3777,995,49080.902344,0.020273
9,1000,0.6,0.2,50.0,1000,9544,3771,998,48057.203125,0.020767
10,1000,0.6,0.2,50.0,1000,9784,3938,991,50749.519531,0.019527
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,9619,3925,997,48959.480469,0.020364
2,1000,0.6,0.2,50.0,1000,9892,3879,992,50307.714844,0.019719
3,1000,0.6,0.2,50.0,1000,10134,4048,997,51562.281250,0.019336
4,1000,0.6,0.2,50.0,1000,9481,3868,997,49762.714844,0.020035
5,1000,0.6,0.2,50.0,1000,9848,3932,996,50449.625000,0.019742
6,1000,0.6,0.2,50.0,1000,9499,3845,996,50229.917969,0.019829
7,1000,0.6,0.2,50.0,1000,9914,3904,998,50859.402344,0.019623
8,1000,0.6,0.2,50.0,1000,9438,3777,995,49080.902344,0.020273
9,1000,0.6,0.2,50.0,1000,9544,3771,998,48057.203125,0.020767
10,1000,0.6,0.2,50.0,1000,9784,3938,991,50749.519531,0.019527
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,9619,3925,997,48959.480469,0.020364
2,1000,0.6,0.2,50.0,1000,9892,3879,992,50307.714844,0.019719
3,1000,0.6,0.2,50.0,1000,10134,4048,997,51562.281250,0.019336
4,1000,0.6,0.2,50.0,1000,9481,3868,997,49762.714844,0.020035
5,1000,0.6,0.2,50.0,1000,9848,3932,996,50449.625000,0.019742
6,1000,0.6,0.2,50.0,1000,9499,3845,996,50229.917969,0.019829
7,1000,0.6,0.2,50.0,1000,9914,3904,998,50859.402344,0.019623
8,1000,0.6,0.2,50.0,1000,9438,3777,995,49080.902344,0.020273
9,1000,0.6,0.2,50.0,1000,9544,3771,998,48057.203125,0.020767
10,1000,0.6,0.2,50.0,1000,9784,3938,991,50749.519531,0.019527
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,9619,3925,997,48959.480469,0.020364
2,1000,0.6,0.2,50.0,1000,9892,3879,992,50307.714844,0.019719
3,1000,0.6,0.2,50.0,1000,10134,4048,997,51562.281250,0.019336
4,1000,0.6,0.2,50.0,1000,9481,3868,997,49762.714844,0.020035
5,1000,0.6,0.2,50.0,1000,9848,3932,996,50449.625000,0.019742
6,1000,0.6,0.2,50.0,1000,9499,3845,996,50229.917969,0.019829
7,1000,0.6,0.2,50.0,1000,9914,3904,998,50859.402344,0.019623
8,1000,0.6,0.2,50.0,1000,9438,3777,995,49080.902344,0.020273
9,1000,0.6,0.2,50.0,1000,9544,3771,998,48057.203125,0.020767
10,1000,0.6,0.2,50.0,1000,9784,3938,991,50749.519531,0.019527
