Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,53373,8064,871,49076.281250,0.017748
2,1000,0.8,0.2,50.0,1000,102731,8833,477,50853.367188,0.009380
3,1000,0.8,0.2,50.0,1000,92648,8351,670,49019.875000,0.013668
4,1000,0.8,0.2,50.0,1000,40773,6371,855,49988.738281,0.017104
5,1000,0.8,0.2,50.0,1000,61756,7952,845,49815.675781,0.016963
6,1000,0.8,0.2,50.0,1000,41223,7772,962,49968.246094,0.019252
7,1000,0.8,0.2,50.0,1000,69603,8416,771,49979.707031,0.015426
8,1000,0.8,0.2,50.0,1000,45612,7694,859,50023.535156,0.017172
9,1000,0.8,0.2,50.0,1000,118400,8479,453,49164.031250,0.009214
10,1000,0.8,0.2,50.0,1000,57225,8344,857,49657.699219,0.017258
