Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,18071,3650,470,50017.761719,0.009397
2,1000,0.8,0.2,50.0,1000,21349,4302,574,51809.949219,0.011079
3,1000,0.8,0.2,50.0,1000,18356,3622,456,50238.003906,0.009077
4,1000,0.8,0.2,50.0,1000,19747,4022,568,49841.027344,0.011396
5,1000,0.8,0.2,50.0,1000,17881,3571,462,49248.937500,0.009381
6,1000,0.8,0.2,50.0,1000,18930,3863,507,48812.625000,0.010387
7,1000,0.8,0.2,50.0,1000,18082,3528,462,50056.972656,0.009229
8,1000,0.8,0.2,50.0,1000,19454,3988,526,50312.519531,0.010455
9,1000,0.8,0.2,50.0,1000,17341,3469,451,49316.261719,0.009145
10,1000,0.8,0.2,50.0,1000,19291,3832,488,51837.628906,0.009414
