Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,3483,1418,21,52200.910156,0.000402
2,1000,0.6,0.2,50.0,1000,3403,1357,21,50958.453125,0.000412
3,1000,0.6,0.2,50.0,1000,3249,1315,21,48617.648438,0.000432
4,1000,0.6,0.2,50.0,1000,3275,1342,21,49052.535156,0.000428
5,1000,0.6,0.2,50.0,1000,3308,1350,21,49523.785156,0.000424
6,1000,0.6,0.2,50.0,1000,3416,1355,23,51255.578125,0.000449
7,1000,0.6,0.2,50.0,1000,3243,1322,24,48635.640625,0.000493
8,1000,0.6,0.2,50.0,1000,3310,1292,21,49589.683594,0.000423
9,1000,0.6,0.2,50.0,1000,3295,1275,21,49322.437500,0.000426
10,1000,0.6,0.2,50.0,1000,3258,1291,21,48824.148438,0.000430
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,3483,1418,21,52200.910156,0.000402
2,1000,0.6,0.2,50.0,1000,3403,1357,21,50958.453125,0.000412
3,1000,0.6,0.2,50.0,1000,3249,1315,21,48617.648438,0.000432
4,1000,0.6,0.2,50.0,1000,3275,1342,21,49052.535156,0.000428
5,1000,0.6,0.2,50.0,1000,3308,1350,21,49523.785156,0.000424
6,1000,0.6,0.2,50.0,1000,3416,1355,23,51255.578125,0.000449
7,1000,0.6,0.2,50.0,1000,3243,1322,24,48635.640625,0.000493
8,1000,0.6,0.2,50.0,1000,3310,1292,21,49589.683594,0.000423
9,1000,0.6,0.2,50.0,1000,3295,1275,21,49322.437500,0.000426
10,1000,0.6,0.2,50.0,1000,3258,1291,21,48824.148438,0.000430
