Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,3355,1989,25,50424.804688,0.000496
2,1000,0.4,0.2,50.0,1000,3313,2014,21,49637.222656,0.000423
3,1000,0.4,0.2,50.0,1000,3378,1999,25,50784.371094,0.000492
4,1000,0.4,0.2,50.0,1000,3458,2056,22,51826.558594,0.000424
5,1000,0.4,0.2,50.0,1000,3326,2002,23,49874.453125,0.000461
6,1000,0.4,0.2,50.0,1000,3351,2023,26,50300.820312,0.000517
7,1000,0.4,0.2,50.0,1000,3298,1969,24,49516.539062,0.000485
8,1000,0.4,0.2,50.0,1000,3375,2015,30,50822.800781,0.000590
9,1000,0.4,0.2,50.0,1000,3307,1948,23,49585.957031,0.000464
10,1000,0.4,0.2,50.0,1000,3351,2000,23,50230.148438,0.000458
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,3355,1989,25,50424.804688,0.000496
2,1000,0.4,0.2,50.0,1000,3313,2014,21,49637.222656,0.000423
3,1000,0.4,0.2,50.0,1000,3378,1999,25,50784.371094,0.000492
4,1000,0.4,0.2,50.0,1000,3458,2056,22,51826.558594,0.000424
5,1000,0.4,0.2,50.0,1000,3326,2002,23,49874.453125,0.000461
6,1000,0.4,0.2,50.0,1000,3351,2023,26,50300.820312,0.000517
7,1000,0.4,0.2,50.0,1000,3298,1969,24,49516.539062,0.000485
8,1000,0.4,0.2,50.0,1000,3375,2015,30,50822.800781,0.000590
9,1000,0.4,0.2,50.0,1000,3307,1948,23,49585.957031,0.000464
10,1000,0.4,0.2,50.0,1000,3351,2000,23,50230.148438,0.000458
