Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1866,1689,999,48970.757812,0.020400
2,1000,0.1,0.2,50.0,1000,1940,1751,998,49733.050781,0.020067
3,1000,0.1,0.2,50.0,1000,1942,1739,999,49178.753906,0.020314
4,1000,0.1,0.2,50.0,1000,1936,1748,999,50156.812500,0.019918
5,1000,0.1,0.2,50.0,1000,1889,1695,999,50720.105469,0.019696
6,1000,0.1,0.2,50.0,1000,1924,1743,999,50180.335938,0.019908
7,1000,0.1,0.2,50.0,1000,1957,1739,999,49510.359375,0.020178
8,1000,0.1,0.2,50.0,1000,1897,1722,999,51316.769531,0.019467
9,1000,0.1,0.2,50.0,1000,1992,1787,999,49627.484375,0.020130
10,1000,0.1,0.2,50.0,1000,1886,1707,999,49352.050781,0.020242
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1866,1689,999,48970.757812,0.020400
2,1000,0.1,0.2,50.0,1000,1940,1751,998,49733.050781,0.020067
3,1000,0.1,0.2,50.0,1000,1942,1739,999,49178.753906,0.020314
4,1000,0.1,0.2,50.0,1000,1936,1748,999,50156.812500,0.019918
5,1000,0.1,0.2,50.0,1000,1889,1695,999,50720.105469,0.019696
6,1000,0.1,0.2,50.0,1000,1924,1743,999,50180.335938,0.019908
7,1000,0.1,0.2,50.0,1000,1957,1739,999,49510.359375,0.020178
8,1000,0.1,0.2,50.0,1000,1897,1722,999,51316.769531,0.019467
9,1000,0.1,0.2,50.0,1000,1992,1787,999,49627.484375,0.020130
10,1000,0.1,0.2,50.0,1000,1886,1707,999,49352.050781,0.020242
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1866,1689,999,48970.757812,0.020400
2,1000,0.1,0.2,50.0,1000,1940,1751,998,49733.050781,0.020067
3,1000,0.1,0.2,50.0,1000,1942,1739,999,49178.753906,0.020314
4,1000,0.1,0.2,50.0,1000,1936,1748,999,50156.812500,0.019918
5,1000,0.1,0.2,50.0,1000,1889,1695,999,50720.105469,0.019696
6,1000,0.1,0.2,50.0,1000,1924,1743,999,50180.335938,0.019908
7,1000,0.1,0.2,50.0,1000,1957,1739,999,49510.359375,0.020178
8,1000,0.1,0.2,50.0,1000,1897,1722,999,51316.769531,0.019467
9,1000,0.1,0.2,50.0,1000,1992,1787,999,49627.484375,0.020130
10,1000,0.1,0.2,50.0,1000,1886,1707,999,49352.050781,0.020242
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1866,1689,999,48970.757812,0.020400
2,1000,0.1,0.2,50.0,1000,1940,1751,998,49733.050781,0.020067
3,1000,0.1,0.2,50.0,1000,1942,1739,999,49178.753906,0.020314
4,1000,0.1,0.2,50.0,1000,1936,1748,999,50156.812500,0.019918
5,1000,0.1,0.2,50.0,1000,1889,1695,999,50720.105469,0.019696
6,1000,0.1,0.2,50.0,1000,1924,1743,999,50180.335938,0.019908
7,1000,0.1,0.2,50.0,1000,1957,1739,999,49510.359375,0.020178
8,1000,0.1,0.2,50.0,1000,1897,1722,999,51316.769531,0.019467
9,1000,0.1,0.2,50.0,1000,1992,1787,999,49627.484375,0.020130
10,1000,0.1,0.2,50.0,1000,1886,1707,999,49352.050781,0.020242
