Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,4257,2504,999,47556.863281,0.021006
2,1000,0.4,0.2,50.0,1000,4517,2680,997,51041.210938,0.019533
3,1000,0.4,0.2,50.0,1000,4470,2662,999,49360.031250,0.020239
4,1000,0.4,0.2,50.0,1000,4176,2553,997,50663.187500,0.019679
5,1000,0.4,0.2,50.0,1000,4261,2586,997,49419.710938,0.020174
6,1000,0.4,0.2,50.0,1000,4272,2591,999,51066.097656,0.019563
7,1000,0.4,0.2,50.0,1000,4495,2694,998,49466.023438,0.020175
8,1000,0.4,0.2,50.0,1000,4215,2585,996,50114.312500,0.019875
9,1000,0.4,0.2,50.0,1000,4447,2676,997,48622.128906,0.020505
10,1000,0.4,0.2,50.0,1000,4419,2692,999,49599.363281,0.020141
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,4257,2504,999,47556.863281,0.021006
2,1000,0.4,0.2,50.0,1000,4517,2680,997,51041.210938,0.019533
3,1000,0.4,0.2,50.0,1000,4470,2662,999,49360.031250,0.020239
4,1000,0.4,0.2,50.0,1000,4176,2553,997,50663.187500,0.019679
5,1000,0.4,0.2,50.0,1000,4261,2586,997,49419.710938,0.020174
6,1000,0.4,0.2,50.0,1000,4272,2591,999,51066.097656,0.019563
7,1000,0.4,0.2,50.0,1000,4495,2694,998,49466.023438,0.020175
8,1000,0.4,0.2,50.0,1000,4215,2585,996,50114.312500,0.019875
9,1000,0.4,0.2,50.0,1000,4447,2676,997,48622.128906,0.020505
10,1000,0.4,0.2,50.0,1000,4419,2692,999,49599.363281,0.020141
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,4257,2504,999,47556.863281,0.021006
2,1000,0.4,0.2,50.0,1000,4517,2680,997,51041.210938,0.019533
3,1000,0.4,0.2,50.0,1000,4470,2662,999,49360.031250,0.020239
4,1000,0.4,0.2,50.0,1000,4176,2553,997,50663.187500,0.019679
5,1000,0.4,0.2,50.0,1000,4261,2586,997,49419.710938,0.020174
6,1000,0.4,0.2,50.0,1000,4272,2591,999,51066.097656,0.019563
7,1000,0.4,0.2,50.0,1000,4495,2694,998,49466.023438,0.020175
8,1000,0.4,0.2,50.0,1000,4215,2585,996,50114.312500,0.019875
9,1000,0.4,0.2,50.0,1000,4447,2676,997,48622.128906,0.020505
10,1000,0.4,0.2,50.0,1000,4419,2692,999,49599.363281,0.020141
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,4257,2504,999,47556.863281,0.021006
2,1000,0.4,0.2,50.0,1000,4517,2680,997,51041.210938,0.019533
3,1000,0.4,0.2,50.0,1000,4470,2662,999,49360.031250,0.020239
4,1000,0.4,0.2,50.0,1000,4176,2553,997,50663.187500,0.019679
5,1000,0.4,0.2,50.0,1000,4261,2586,997,49419.710938,0.020174
6,1000,0.4,0.2,50.0,1000,4272,2591,999,51066.097656,0.019563
7,1000,0.4,0.2,50.0,1000,4495,2694,998,49466.023438,0.020175
8,1000,0.4,0.2,50.0,1000,4215,2585,996,50114.312500,0.019875
9,1000,0.4,0.2,50.0,1000,4447,2676,997,48622.128906,0.020505
10,1000,0.4,0.2,50.0,1000,4419,2692,999,49599.363281,0.020141
