Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,3357,3025,64,51657.042969,0.001239
2,1000,0.1,0.2,50.0,1000,3256,2945,46,49617.113281,0.000927
3,1000,0.1,0.2,50.0,1000,3277,2943,64,50513.816406,0.001267
4,1000,0.1,0.2,50.0,1000,3309,2963,72,51182.007812,0.001407
5,1000,0.1,0.2,50.0,1000,3241,2938,53,49417.023438,0.001073
6,1000,0.1,0.2,50.0,1000,3183,2877,56,48543.968750,0.001154
7,1000,0.1,0.2,50.0,1000,3264,2926,54,49850.105469,0.001083
8,1000,0.1,0.2,50.0,1000,3242,2949,67,49965.148438,0.001341
9,1000,0.1,0.2,50.0,1000,3291,2929,36,49768.515625,0.000723
10,1000,0.1,0.2,50.0,1000,3286,2983,55,50354.117188,0.001092
