Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2393,1941,999,49224.007812,0.020295
2,1000,0.2,0.2,50.0,1000,2444,1968,998,49375.800781,0.020212
3,1000,0.2,0.2,50.0,1000,2529,2012,996,49104.371094,0.020283
4,1000,0.2,0.2,50.0,1000,2443,1939,999,50847.574219,0.019647
5,1000,0.2,0.2,50.0,1000,2435,1926,999,51091.417969,0.019553
6,1000,0.2,0.2,50.0,1000,2376,1921,999,51453.433594,0.019416
7,1000,0.2,0.2,50.0,1000,2514,1981,998,50200.093750,0.019880
8,1000,0.2,0.2,50.0,1000,2340,1885,998,50153.238281,0.019899
9,1000,0.2,0.2,50.0,1000,2563,2024,999,50705.824219,0.019702
10,1000,0.2,0.2,50.0,1000,2372,1907,999,50394.093750,0.019824
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2393,1941,999,49224.007812,0.020295
2,1000,0.2,0.2,50.0,1000,2444,1968,998,49375.800781,0.020212
3,1000,0.2,0.2,50.0,1000,2529,2012,996,49104.371094,0.020283
4,1000,0.2,0.2,50.0,1000,2443,1939,999,50847.574219,0.019647
5,1000,0.2,0.2,50.0,1000,2435,1926,999,51091.417969,0.019553
6,1000,0.2,0.2,50.0,1000,2376,1921,999,51453.433594,0.019416
7,1000,0.2,0.2,50.0,1000,2514,1981,998,50200.093750,0.019880
8,1000,0.2,0.2,50.0,1000,2340,1885,998,50153.238281,0.019899
9,1000,0.2,0.2,50.0,1000,2563,2024,999,50705.824219,0.019702
10,1000,0.2,0.2,50.0,1000,2372,1907,999,50394.093750,0.019824
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2393,1941,999,49224.007812,0.020295
2,1000,0.2,0.2,50.0,1000,2444,1968,998,49375.800781,0.020212
3,1000,0.2,0.2,50.0,1000,2529,2012,996,49104.371094,0.020283
4,1000,0.2,0.2,50.0,1000,2443,1939,999,50847.574219,0.019647
5,1000,0.2,0.2,50.0,1000,2435,1926,999,51091.417969,0.019553
6,1000,0.2,0.2,50.0,1000,2376,1921,999,51453.433594,0.019416
7,1000,0.2,0.2,50.0,1000,2514,1981,998,50200.093750,0.019880
8,1000,0.2,0.2,50.0,1000,2340,1885,998,50153.238281,0.019899
9,1000,0.2,0.2,50.0,1000,2563,2024,999,50705.824219,0.019702
10,1000,0.2,0.2,50.0,1000,2372,1907,999,50394.093750,0.019824
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2393,1941,999,49224.007812,0.020295
2,1000,0.2,0.2,50.0,1000,2444,1968,998,49375.800781,0.020212
3,1000,0.2,0.2,50.0,1000,2529,2012,996,49104.371094,0.020283
4,1000,0.2,0.2,50.0,1000,2443,1939,999,50847.574219,0.019647
5,1000,0.2,0.2,50.0,1000,2435,1926,999,51091.417969,0.019553
6,1000,0.2,0.2,50.0,1000,2376,1921,999,51453.433594,0.019416
7,1000,0.2,0.2,50.0,1000,2514,1981,998,50200.093750,0.019880
8,1000,0.2,0.2,50.0,1000,2340,1885,998,50153.238281,0.019899
9,1000,0.2,0.2,50.0,1000,2563,2024,999,50705.824219,0.019702
10,1000,0.2,0.2,50.0,1000,2372,1907,999,50394.093750,0.019824
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2393,1941,999,49224.007812,0.020295
2,1000,0.2,0.2,50.0,1000,2444,1968,998,49375.800781,0.020212
3,1000,0.2,0.2,50.0,1000,2529,2012,996,49104.371094,0.020283
4,1000,0.2,0.2,50.0,1000,2443,1939,999,50847.574219,0.019647
5,1000,0.2,0.2,50.0,1000,2435,1926,999,51091.417969,0.019553
6,1000,0.2,0.2,50.0,1000,2376,1921,999,51453.433594,0.019416
7,1000,0.2,0.2,50.0,1000,2514,1981,998,50200.093750,0.019880
8,1000,0.2,0.2,50.0,1000,2340,1885,998,50153.238281,0.019899
9,1000,0.2,0.2,50.0,1000,2563,2024,999,50705.824219,0.019702
10,1000,0.2,0.2,50.0,1000,2372,1907,999,50394.093750,0.019824
