Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,4273,1715,3,51069.863281,0.000059
2,1000,0.6,0.2,50.0,1000,4403,1745,2,50080.375000,0.000040
3,1000,0.6,0.2,50.0,1000,4387,1791,4,49057.824219,0.000082
4,1000,0.6,0.2,50.0,1000,4355,1757,1,51222.695312,0.000020
5,1000,0.6,0.2,50.0,1000,4180,1724,2,50818.320312,0.000039
6,1000,0.6,0.2,50.0,1000,4375,1809,2,49773.128906,0.000040
7,1000,0.6,0.2,50.0,1000,4223,1708,1,47767.335938,0.000021
8,1000,0.6,0.2,50.0,1000,4230,1691,1,48558.683594,0.000021
9,1000,0.6,0.2,50.0,1000,4377,1735,1,47931.425781,0.000021
10,1000,0.6,0.2,50.0,1000,4483,1790,2,50506.878906,0.000040
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,4273,1715,3,51069.863281,0.000059
2,1000,0.6,0.2,50.0,1000,4403,1745,2,50080.375000,0.000040
3,1000,0.6,0.2,50.0,1000,4387,1791,4,49057.824219,0.000082
4,1000,0.6,0.2,50.0,1000,4355,1757,1,51222.695312,0.000020
5,1000,0.6,0.2,50.0,1000,4180,1724,2,50818.320312,0.000039
6,1000,0.6,0.2,50.0,1000,4375,1809,2,49773.128906,0.000040
7,1000,0.6,0.2,50.0,1000,4223,1708,1,47767.335938,0.000021
8,1000,0.6,0.2,50.0,1000,4230,1691,1,48558.683594,0.000021
9,1000,0.6,0.2,50.0,1000,4377,1735,1,47931.425781,0.000021
10,1000,0.6,0.2,50.0,1000,4483,1790,2,50506.878906,0.000040
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,4273,1715,3,51069.863281,0.000059
2,1000,0.6,0.2,50.0,1000,4403,1745,2,50080.375000,0.000040
3,1000,0.6,0.2,50.0,1000,4387,1791,4,49057.824219,0.000082
4,1000,0.6,0.2,50.0,1000,4355,1757,1,51222.695312,0.000020
5,1000,0.6,0.2,50.0,1000,4180,1724,2,50818.320312,0.000039
6,1000,0.6,0.2,50.0,1000,4375,1809,2,49773.128906,0.000040
7,1000,0.6,0.2,50.0,1000,4223,1708,1,47767.335938,0.000021
8,1000,0.6,0.2,50.0,1000,4230,1691,1,48558.683594,0.000021
9,1000,0.6,0.2,50.0,1000,4377,1735,1,47931.425781,0.000021
10,1000,0.6,0.2,50.0,1000,4483,1790,2,50506.878906,0.000040
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,4273,1715,3,51069.863281,0.000059
2,1000,0.6,0.2,50.0,1000,4403,1745,2,50080.375000,0.000040
3,1000,0.6,0.2,50.0,1000,4387,1791,4,49057.824219,0.000082
4,1000,0.6,0.2,50.0,1000,4355,1757,1,51222.695312,0.000020
5,1000,0.6,0.2,50.0,1000,4180,1724,2,50818.320312,0.000039
6,1000,0.6,0.2,50.0,1000,4375,1809,2,49773.128906,0.000040
7,1000,0.6,0.2,50.0,1000,4223,1708,1,47767.335938,0.000021
8,1000,0.6,0.2,50.0,1000,4230,1691,1,48558.683594,0.000021
9,1000,0.6,0.2,50.0,1000,4377,1735,1,47931.425781,0.000021
10,1000,0.6,0.2,50.0,1000,4483,1790,2,50506.878906,0.000040
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,4273,1715,3,51069.863281,0.000059
2,1000,0.6,0.2,50.0,1000,4403,1745,2,50080.375000,0.000040
3,1000,0.6,0.2,50.0,1000,4387,1791,4,49057.824219,0.000082
4,1000,0.6,0.2,50.0,1000,4355,1757,1,51222.695312,0.000020
5,1000,0.6,0.2,50.0,1000,4180,1724,2,50818.320312,0.000039
6,1000,0.6,0.2,50.0,1000,4375,1809,2,49773.128906,0.000040
7,1000,0.6,0.2,50.0,1000,4223,1708,1,47767.335938,0.000021
8,1000,0.6,0.2,50.0,1000,4230,1691,1,48558.683594,0.000021
9,1000,0.6,0.2,50.0,1000,4377,1735,1,47931.425781,0.000021
10,1000,0.6,0.2,50.0,1000,4483,1790,2,50506.878906,0.000040
