Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,8293,1680,2,49536.273438,0.000040
2,1000,0.8,0.2,50.0,1000,8749,1796,2,48785.246094,0.000041
3,1000,0.8,0.2,50.0,1000,8513,1736,1,50094.511719,0.000020
4,1000,0.8,0.2,50.0,1000,8159,1690,3,49771.425781,0.000060
5,1000,0.8,0.2,50.0,1000,8161,1641,1,49840.730469,0.000020
6,1000,0.8,0.2,50.0,1000,8546,1751,3,50382.937500,0.000060
7,1000,0.8,0.2,50.0,1000,8698,1671,3,50789.769531,0.000059
8,1000,0.8,0.2,50.0,1000,8540,1719,4,50994.390625,0.000078
9,1000,0.8,0.2,50.0,1000,7941,1566,1,48870.867188,0.000020
10,1000,0.8,0.2,50.0,1000,8408,1697,2,50123.261719,0.000040
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,8293,1680,2,49536.273438,0.000040
2,1000,0.8,0.2,50.0,1000,8749,1796,2,48785.246094,0.000041
3,1000,0.8,0.2,50.0,1000,8513,1736,1,50094.511719,0.000020
4,1000,0.8,0.2,50.0,1000,8159,1690,3,49771.425781,0.000060
5,1000,0.8,0.2,50.0,1000,8161,1641,1,49840.730469,0.000020
6,1000,0.8,0.2,50.0,1000,8546,1751,3,50382.937500,0.000060
7,1000,0.8,0.2,50.0,1000,8698,1671,3,50789.769531,0.000059
8,1000,0.8,0.2,50.0,1000,8540,1719,4,50994.390625,0.000078
9,1000,0.8,0.2,50.0,1000,7941,1566,1,48870.867188,0.000020
10,1000,0.8,0.2,50.0,1000,8408,1697,2,50123.261719,0.000040
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,8293,1680,2,49536.273438,0.000040
2,1000,0.8,0.2,50.0,1000,8749,1796,2,48785.246094,0.000041
3,1000,0.8,0.2,50.0,1000,8513,1736,1,50094.511719,0.000020
4,1000,0.8,0.2,50.0,1000,8159,1690,3,49771.425781,0.000060
5,1000,0.8,0.2,50.0,1000,8161,1641,1,49840.730469,0.000020
6,1000,0.8,0.2,50.0,1000,8546,1751,3,50382.937500,0.000060
7,1000,0.8,0.2,50.0,1000,8698,1671,3,50789.769531,0.000059
8,1000,0.8,0.2,50.0,1000,8540,1719,4,50994.390625,0.000078
9,1000,0.8,0.2,50.0,1000,7941,1566,1,48870.867188,0.000020
10,1000,0.8,0.2,50.0,1000,8408,1697,2,50123.261719,0.000040
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,8293,1680,2,49536.273438,0.000040
2,1000,0.8,0.2,50.0,1000,8749,1796,2,48785.246094,0.000041
3,1000,0.8,0.2,50.0,1000,8513,1736,1,50094.511719,0.000020
4,1000,0.8,0.2,50.0,1000,8159,1690,3,49771.425781,0.000060
5,1000,0.8,0.2,50.0,1000,8161,1641,1,49840.730469,0.000020
6,1000,0.8,0.2,50.0,1000,8546,1751,3,50382.937500,0.000060
7,1000,0.8,0.2,50.0,1000,8698,1671,3,50789.769531,0.000059
8,1000,0.8,0.2,50.0,1000,8540,1719,4,50994.390625,0.000078
9,1000,0.8,0.2,50.0,1000,7941,1566,1,48870.867188,0.000020
10,1000,0.8,0.2,50.0,1000,8408,1697,2,50123.261719,0.000040
