Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,3012,1808,2,51784.695312,0.000039
2,1000,0.4,0.2,50.0,1000,2943,1740,5,51461.542969,0.000097
3,1000,0.4,0.2,50.0,1000,2877,1673,1,49303.070312,0.000020
4,1000,0.4,0.2,50.0,1000,2904,1768,1,52416.683594,0.000019
5,1000,0.4,0.2,50.0,1000,2822,1677,2,49682.324219,0.000040
6,1000,0.4,0.2,50.0,1000,2891,1723,2,51790.335938,0.000039
7,1000,0.4,0.2,50.0,1000,2861,1669,5,48509.679688,0.000103
8,1000,0.4,0.2,50.0,1000,2915,1737,1,51612.128906,0.000019
9,1000,0.4,0.2,50.0,1000,2834,1689,2,49215.109375,0.000041
10,1000,0.4,0.2,50.0,1000,2924,1741,2,50492.128906,0.000040
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,3012,1808,2,51784.695312,0.000039
2,1000,0.4,0.2,50.0,1000,2943,1740,5,51461.542969,0.000097
3,1000,0.4,0.2,50.0,1000,2877,1673,1,49303.070312,0.000020
4,1000,0.4,0.2,50.0,1000,2904,1768,1,52416.683594,0.000019
5,1000,0.4,0.2,50.0,1000,2822,1677,2,49682.324219,0.000040
6,1000,0.4,0.2,50.0,1000,2891,1723,2,51790.335938,0.000039
7,1000,0.4,0.2,50.0,1000,2861,1669,5,48509.679688,0.000103
8,1000,0.4,0.2,50.0,1000,2915,1737,1,51612.128906,0.000019
9,1000,0.4,0.2,50.0,1000,2834,1689,2,49215.109375,0.000041
10,1000,0.4,0.2,50.0,1000,2924,1741,2,50492.128906,0.000040
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,3012,1808,2,51784.695312,0.000039
2,1000,0.4,0.2,50.0,1000,2943,1740,5,51461.542969,0.000097
3,1000,0.4,0.2,50.0,1000,2877,1673,1,49303.070312,0.000020
4,1000,0.4,0.2,50.0,1000,2904,1768,1,52416.683594,0.000019
5,1000,0.4,0.2,50.0,1000,2822,1677,2,49682.324219,0.000040
6,1000,0.4,0.2,50.0,1000,2891,1723,2,51790.335938,0.000039
7,1000,0.4,0.2,50.0,1000,2861,1669,5,48509.679688,0.000103
8,1000,0.4,0.2,50.0,1000,2915,1737,1,51612.128906,0.000019
9,1000,0.4,0.2,50.0,1000,2834,1689,2,49215.109375,0.000041
10,1000,0.4,0.2,50.0,1000,2924,1741,2,50492.128906,0.000040
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,3012,1808,2,51784.695312,0.000039
2,1000,0.4,0.2,50.0,1000,2943,1740,5,51461.542969,0.000097
3,1000,0.4,0.2,50.0,1000,2877,1673,1,49303.070312,0.000020
4,1000,0.4,0.2,50.0,1000,2904,1768,1,52416.683594,0.000019
5,1000,0.4,0.2,50.0,1000,2822,1677,2,49682.324219,0.000040
6,1000,0.4,0.2,50.0,1000,2891,1723,2,51790.335938,0.000039
7,1000,0.4,0.2,50.0,1000,2861,1669,5,48509.679688,0.000103
8,1000,0.4,0.2,50.0,1000,2915,1737,1,51612.128906,0.000019
9,1000,0.4,0.2,50.0,1000,2834,1689,2,49215.109375,0.000041
10,1000,0.4,0.2,50.0,1000,2924,1741,2,50492.128906,0.000040
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,3012,1808,2,51784.695312,0.000039
2,1000,0.4,0.2,50.0,1000,2943,1740,5,51461.542969,0.000097
3,1000,0.4,0.2,50.0,1000,2877,1673,1,49303.070312,0.000020
4,1000,0.4,0.2,50.0,1000,2904,1768,1,52416.683594,0.000019
5,1000,0.4,0.2,50.0,1000,2822,1677,2,49682.324219,0.000040
6,1000,0.4,0.2,50.0,1000,2891,1723,2,51790.335938,0.000039
7,1000,0.4,0.2,50.0,1000,2861,1669,5,48509.679688,0.000103
8,1000,0.4,0.2,50.0,1000,2915,1737,1,51612.128906,0.000019
9,1000,0.4,0.2,50.0,1000,2834,1689,2,49215.109375,0.000041
10,1000,0.4,0.2,50.0,1000,2924,1741,2,50492.128906,0.000040
