Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,6113,3000,998,51150.035156,0.019511
2,1000,0.5,0.2,50.0,1000,6633,3331,997,51002.539062,0.019548
3,1000,0.5,0.2,50.0,1000,6355,3122,996,48972.824219,0.020338
4,1000,0.5,0.2,50.0,1000,5709,2859,999,50419.539062,0.019814
5,1000,0.5,0.2,50.0,1000,6386,3162,994,49919.222656,0.019912
6,1000,0.5,0.2,50.0,1000,6365,3256,999,51864.742188,0.019262
7,1000,0.5,0.2,50.0,1000,6438,3204,996,49653.960938,0.020059
8,1000,0.5,0.2,50.0,1000,6066,3070,995,50034.363281,0.019886
9,1000,0.5,0.2,50.0,1000,6416,3157,997,49982.417969,0.019947
10,1000,0.5,0.2,50.0,1000,6307,3123,998,50268.417969,0.019853
