Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,5667,2853,907,50013.687500,0.018135
2,1000,0.5,0.2,50.0,1000,6015,2994,962,49757.703125,0.019334
3,1000,0.5,0.2,50.0,1000,5792,2887,915,49167.000000,0.018610
4,1000,0.5,0.2,50.0,1000,5808,2870,977,50832.312500,0.019220
5,1000,0.5,0.2,50.0,1000,5508,2723,872,49480.093750,0.017623
6,1000,0.5,0.2,50.0,1000,5894,2996,935,51360.699219,0.018205
7,1000,0.5,0.2,50.0,1000,5805,2897,885,49673.195312,0.017816
8,1000,0.5,0.2,50.0,1000,6045,3067,969,52025.703125,0.018625
9,1000,0.5,0.2,50.0,1000,5878,2913,938,49895.558594,0.018799
10,1000,0.5,0.2,50.0,1000,6079,3035,961,49604.699219,0.019373
