Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2396,1938,999,49497.023438,0.020183
2,1000,0.2,0.2,50.0,1000,2448,1971,996,49206.062500,0.020241
3,1000,0.2,0.2,50.0,1000,2550,2031,999,49327.164062,0.020253
4,1000,0.2,0.2,50.0,1000,2444,1939,998,50973.703125,0.019579
5,1000,0.2,0.2,50.0,1000,2437,1929,998,51047.453125,0.019550
6,1000,0.2,0.2,50.0,1000,2388,1916,999,51290.675781,0.019477
7,1000,0.2,0.2,50.0,1000,2513,1982,999,50451.699219,0.019801
8,1000,0.2,0.2,50.0,1000,2342,1883,999,50356.675781,0.019838
9,1000,0.2,0.2,50.0,1000,2533,2000,999,50883.089844,0.019633
10,1000,0.2,0.2,50.0,1000,2375,1904,999,50803.109375,0.019664
