Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,4411,2649,994,49350.863281,0.020141
2,1000,0.4,0.2,50.0,1000,4448,2676,999,51287.378906,0.019478
3,1000,0.4,0.2,50.0,1000,4565,2722,997,50255.945312,0.019838
4,1000,0.4,0.2,50.0,1000,4141,2522,999,50931.304688,0.019615
5,1000,0.4,0.2,50.0,1000,4200,2574,991,48401.089844,0.020475
6,1000,0.4,0.2,50.0,1000,4339,2612,995,51719.890625,0.019238
7,1000,0.4,0.2,50.0,1000,4374,2642,999,48674.996094,0.020524
8,1000,0.4,0.2,50.0,1000,4196,2531,998,49694.425781,0.020083
9,1000,0.4,0.2,50.0,1000,4392,2587,984,49917.222656,0.019713
10,1000,0.4,0.2,50.0,1000,4350,2631,991,50277.085938,0.019711
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,4411,2649,994,49350.863281,0.020141
2,1000,0.4,0.2,50.0,1000,4448,2676,999,51287.378906,0.019478
3,1000,0.4,0.2,50.0,1000,4565,2722,997,50255.945312,0.019838
4,1000,0.4,0.2,50.0,1000,4141,2522,999,50931.304688,0.019615
5,1000,0.4,0.2,50.0,1000,4200,2574,991,48401.089844,0.020475
6,1000,0.4,0.2,50.0,1000,4339,2612,995,51719.890625,0.019238
7,1000,0.4,0.2,50.0,1000,4374,2642,999,48674.996094,0.020524
8,1000,0.4,0.2,50.0,1000,4196,2531,998,49694.425781,0.020083
9,1000,0.4,0.2,50.0,1000,4392,2587,984,49917.222656,0.019713
10,1000,0.4,0.2,50.0,1000,4350,2631,991,50277.085938,0.019711
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,4411,2649,994,49350.863281,0.020141
2,1000,0.4,0.2,50.0,1000,4448,2676,999,51287.378906,0.019478
3,1000,0.4,0.2,50.0,1000,4565,2722,997,50255.945312,0.019838
4,1000,0.4,0.2,50.0,1000,4141,2522,999,50931.304688,0.019615
5,1000,0.4,0.2,50.0,1000,4200,2574,991,48401.089844,0.020475
6,1000,0.4,0.2,50.0,1000,4339,2612,995,51719.890625,0.019238
7,1000,0.4,0.2,50.0,1000,4374,2642,999,48674.996094,0.020524
8,1000,0.4,0.2,50.0,1000,4196,2531,998,49694.425781,0.020083
9,1000,0.4,0.2,50.0,1000,4392,2587,984,49917.222656,0.019713
10,1000,0.4,0.2,50.0,1000,4350,2631,991,50277.085938,0.019711
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,4411,2649,994,49350.863281,0.020141
2,1000,0.4,0.2,50.0,1000,4448,2676,999,51287.378906,0.019478
3,1000,0.4,0.2,50.0,1000,4565,2722,997,50255.945312,0.019838
4,1000,0.4,0.2,50.0,1000,4141,2522,999,50931.304688,0.019615
5,1000,0.4,0.2,50.0,1000,4200,2574,991,48401.089844,0.020475
6,1000,0.4,0.2,50.0,1000,4339,2612,995,51719.890625,0.019238
7,1000,0.4,0.2,50.0,1000,4374,2642,999,48674.996094,0.020524
8,1000,0.4,0.2,50.0,1000,4196,2531,998,49694.425781,0.020083
9,1000,0.4,0.2,50.0,1000,4392,2587,984,49917.222656,0.019713
10,1000,0.4,0.2,50.0,1000,4350,2631,991,50277.085938,0.019711
